compCorp;altDorso;largPeito;altGarupa;compEspadua;compDorsLomb;altCernelha;largAncas;relacaoDorsoGarupa;relacaoAltCernelhaCorpo;relacaoAncasDorso;sexo
1.42;1.36;0.34;1.43;0.59;0.66;1.42;0.46;0.951048951;1;0.338235294;1
1.45;1.36;0.36;1.48;0.59;0.58;1.46;0.36;0.918918919;1.006896552;0.264705882;0
1.52;1.45;0.38;1.48;0.61;0.56;1.47;0.45;0.97972973;0.967105263;0.310344828;0
1.43;1.32;0.3;1.37;0.45;0.43;1.36;0.44;0.96350365;0.951048951;0.333333333;0
1.48;1.41;0.36;1.49;0.56;0.59;1.49;0.45;0.946308725;1.006756757;0.319148936;0
1.42;1.34;0.32;1.37;0.57;0.56;1.36;0.41;0.97810219;0.957746479;0.305970149;1
1.41;1.35;0.35;1.4;0.55;0.5;1.41;0.44;0.964285714;1;0.325925926;0
1.35;1.32;0.31;1.33;0.51;0.5;1.31;0.46;0.992481203;0.97037037;0.348484848;1
1.45;1.38;0.33;1.41;0.43;0.44;1.34;0.42;0.978723404;0.924137931;0.304347826;1
1.39;1.38;0.33;1.45;0.54;0.53;1.44;0.44;0.951724138;1.035971223;0.31884058;0
1.45;1.3;0.26;1.35;0.46;0.46;1.35;0.42;0.962962963;0.931034483;0.323076923;0
1.5;1.34;0.32;1.41;0.59;0.6;1.39;0.45;0.95035461;0.926666667;0.335820896;1
1.37;1.34;0.3;1.39;0.48;0.52;1.37;0.4;0.964028777;1;0.298507463;1
1.52;1.48;0.36;1.52;0.57;0.51;1.5;0.43;0.973684211;0.986842105;0.290540541;0
1.35;1.3;0.3;1.37;0.45;0.48;1.35;0.42;0.948905109;1;0.323076923;0
1.47;1.38;0.43;1.44;0.59;0.68;1.44;0.54;0.958333333;0.979591837;0.391304348;0
1.47;1.41;0.3;1.43;0.54;0.53;1.45;0.42;0.986013986;0.986394558;0.29787234;1
1.49;1.38;0.39;1.41;0.61;0.73;1.4;0.46;0.978723404;0.939597315;0.333333333;0
1.4;1.36;0.33;1.39;0.44;0.53;1.38;0.44;0.978417266;0.985714286;0.323529412;0
1.4;1.33;0.28;1.37;0.47;0.44;1.37;0.47;0.97080292;0.978571429;0.353383459;0
1.38;1.33;0.26;1.37;0.43;0.52;1.35;0.42;0.97080292;0.97826087;0.315789474;0
1.44;1.38;0.36;1.43;0.48;0.54;1.43;0.47;0.965034965;0.993055556;0.34057971;0
1.4;1.35;0.27;1.37;0.43;0.53;1.38;0.38;0.98540146;0.985714286;0.281481481;0
1.35;1.33;0.31;1.38;0.44;0.5;1.36;0.41;0.963768116;1.007407407;0.308270677;0
1.48;1.36;0.27;1.38;0.54;0.53;1.4;0.46;0.985507246;0.945945946;0.338235294;1
1.35;1.29;0.3;1.35;0.43;0.52;1.35;0.39;0.955555556;1;0.302325581;0
1.44;1.38;0.35;1.37;0.58;0.57;1.36;0.47;1.00729927;0.944444444;0.34057971;0
1.48;1.41;0.37;1.47;0.57;0.69;1.46;0.45;0.959183673;0.986486486;0.319148936;1
1.45;1.38;0.36;1.42;0.56;0.65;1.41;0.45;0.971830986;0.972413793;0.326086957;0
1.41;1.38;0.33;1.4;0.57;0.55;1.41;0.41;0.985714286;1;0.297101449;0
1.44;1.36;0.32;1.42;0.61;0.58;1.41;0.44;0.957746479;0.979166667;0.323529412;1
1.48;1.34;0.37;1.4;0.58;0.66;1.4;0.47;0.957142857;0.945945946;0.350746269;1
1.44;1.38;0.3;1.43;0.47;0.52;1.34;0.42;0.965034965;0.930555556;0.304347826;1
1.48;1.32;0.32;1.4;0.57;0.54;1.37;0.46;0.942857143;0.925675676;0.348484848;1
1.45;1.33;0.38;1.42;0.56;0.57;1.4;0.46;0.936619718;0.965517241;0.345864662;0
1.43;1.35;0.3;1.38;0.46;0.46;1.38;0.44;0.97826087;0.965034965;0.325925926;0
1.46;1.34;0.37;1.44;0.57;0.65;1.41;0.46;0.930555556;0.965753425;0.343283582;0
1.38;1.36;0.27;1.4;0.48;0.5;1.4;0.37;0.971428571;1.014492754;0.272058824;0
1.38;1.33;0.33;1.37;0.55;0.47;1.35;0.41;0.97080292;0.97826087;0.308270677;0
1.32;1.36;0.24;1.37;0.45;0.54;1.37;0.38;0.99270073;1.037878788;0.279411765;0
1.4;1.31;0.21;1.35;0.4;0.4;1.35;0.35;0.97037037;0.964285714;0.267175573;0
